# Data For All Students question 1

set STUDS := s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40;
set PROJ := p1	p2	p3	p4	p5;
set MAJORS := civ ie bme;
set GENDERS := m f;

param rating: p1	p2	p3	p4	p5 :=
		s1	6	6	0	4	8	
		s2	4	0	8	0	1	
		s3	7	1	9	6	5	
		s4	5	1	5	9	1	
		s5	1	0	9	0	3	
		s6	0	10	2	2	5	
		s7	5	9	10	9	2	
		s8	0	7	5	4	7	
		s9	7	1	4	2	10	
		s10	4	5	5	5	1	
		s11	7	1	7	6	0	
		s12	3	5	1	1	0	
		s13	7	10	10	3	8	
		s14	8	8	0	9	1	
		s15	3	4	5	0	0	
		s16	9	7	9	10	5	
		s17	8	6	8	4	1	
		s18	3	0	3	10	10	
		s19	2	3	5	8	3	
		s20	6	5	7	3	5	
		s21	4	1	10	4	8	
		s22	4	8	5	1	8	
		s23	4	5	10	7	6	
		s24	4	3	2	9	4	
		s25	10	1	2	5	0	
		s26	10	0	2	1	6	
		s27	6	4	7	5	3	
		s28	5	6	1	8	4	
		s29	3	10	8	10	4	
		s30	2	3	6	5	9	
		s31	5	3	5	7	10	
		s32	6	2	5	4	2	
		s33	6	9	1	9	10	
		s34	9	8	4	10	0	
		s35	0	9	0	9	2	
		s36	2	9	1	8	10	
		s37	8	2	10	3	10	
		s38	4	3	6	6	6	
		s39	2	10	4	6	10	
		s40	8	2	0	10	9	;

param gpa_lower := 3.00;
param gpa_upper := 4.00;

param num:= 8;
param happiness:= 300;
param ie_min := 1;

# GPA
param: gpa :=
	s1	3.69
	s2	3.52
	s3	2.86
	s4	2.54
	s5	3.04
	s6	2.83
	s7	3.57
	s8	2.63
	s9	2.97
	s10	3.18
	s11	3.82
	s12	3.02
	s13	2.59
	s14	3.52
	s15	3.25
	s16	2.52
	s17	3.82
	s18	3.97
	s19	3.63
	s20	3.81
	s21	2.64
	s22	3.47
	s23	3.8
	s24	3.38
	s25	2.96
	s26	2.23
	s27	2.89
	s28	3.23
	s29	3.83
	s30	3.93
	s31	2.97
	s32	3.73
	s33	2.54
	s34	3.62
	s35	3.11
	s36	2.06
	s37	3.45
	s38	2.82
	s39	3.65
	s40	3.35;
	
	# Major
param major:  civ    ie    bme  :=
s1	0 0 1
s2	0 0 1
s3	1 0 0
s4	0 1 0
s5	0 0 1
s6	0 0 1
s7	0 1 0
s8	0 0 1
s9	0 1 0
s10	0 1 0
s11	0 1 0
s12	0 1 0
s13	0 1 0
s14	1 0 0
s15	0 1 0
s16	0 1 0
s17	0 1 0
s18	1 0 0
s19	1 0 0
s20	0 1 0
s21	0 0 1
s22	1 0 0
s23	0 1 0
s24	0 0 1
s25	0 1 0
s26	0 1 0
s27	0 0 1
s28	0 0 1
s29	0 1 0
s30	1 0 0
s31	1 0 0
s32	1 0 0
s33	0 0 1
s34	1 0 0
s35	0 0 1
s36	0 1 0
s37	0 1 0
s38	0 1 0
s39	1 0 0
s40	0 1 0;


param gender:  	 m    f  :=
          	s1   0    1
          	s2   0    1
          	s3   1    0
          	s4   0    1
          	s5   1    0
          	s6   1    0
          	s7   1    0
          	s8   1    0
          	s9   0    1
          	s10  0    1
          	s11  1    0
          	s12  0    1
          	s13  1    0
          	s14  1    0
          	s15  1    0
          	s16  1	  0
		  	s17  0	  1
		  	s18  0	  1
		  	s19  1	  0
		  	s20  0	  1
		  	s21  1	  0
		 	s22  1	  0
			s23  1	  0
			s24  0	  1
			s25  1	  0
			s26  1	  0
			s27  1	  0
			s28  1	  0
			s29  1	  0
			s30  1	  0
			s31  1	  0
			s32  1	  0
			s33  0	  1
			s34  0	  1
			s35  1	  0
			s36  1	  0
			s37  1	  0
			s38  1	  0
			s39  0	  1
			s40  0	  1;

param major_limit := 0.8;
			          
